# n_fm^-3 epsilon_MeVfm^-3 P_MeVfm^-3
1.173333333333333311e-01 1.112412803079968313e+02 1.171970846797308674e+00
1.179999999999999938e-01 1.118800292006694832e+02 1.185099912616220719e+00
1.186666666666666703e-01 1.125188522053783231e+02 1.198205920126993451e+00
1.193333333333333329e-01 1.131577487694222555e+02 1.211286447836993796e+00
1.199999999999999956e-01 1.137967183327794203e+02 1.224339085647909275e+00
1.206666666666666721e-01 1.144357603282940943e+02 1.237361435737106552e+00
1.213333333333333347e-01 1.150748741818656669e+02 1.250351113438506800e+00
1.219999999999999973e-01 1.157140593126376586e+02 1.263305748121775762e+00
1.226666666666666738e-01 1.163533151331880333e+02 1.276222984070435329e+00
1.233333333333333365e-01 1.169926410497189124e+02 1.289100481359455097e+00
1.239999999999999991e-01 1.176320364622484078e+02 1.301935916729792808e+00
1.246666666666666617e-01 1.182715007648016154e+02 1.314726984494653639e+00
1.253333333333333244e-01 1.189110333456035988e+02 1.327471397291198452e+00
1.260000000000000009e-01 1.195506335872718608e+02 1.340166887117648420e+00
1.266666666666666496e-01 1.201903008670093840e+02 1.352811206095030361e+00
1.273333333333333262e-01 1.208300345567989922e+02 1.365402127355647366e+00
1.280000000000000027e-01 1.214698340235972012e+02 1.377937445904535263e+00
1.286666666666666514e-01 1.221096986295288360e+02 1.390414979477473167e+00
1.293333333333333279e-01 1.227496277320828710e+02 1.402832569395515927e+00
1.300000000000000044e-01 1.233896206843068626e+02 1.415188081415995613e+00
1.306666666666666532e-01 1.240296768350032721e+02 1.427479406580041577e+00
1.313333333333333297e-01 1.246697955289257322e+02 1.439704462054828271e+00
1.320000000000000062e-01 1.253099761069752986e+02 1.451861191972910303e+00
1.326666666666666550e-01 1.259502179063970431e+02 1.463947568265563604e+00
1.333333333333333315e-01 1.265905202609769162e+02 1.475961591492541247e+00
1.339999999999999802e-01 1.272308825012392930e+02 1.487901291665273185e+00
1.346666666666666567e-01 1.278713039546431247e+02 1.499764729066513258e+00
1.353333333333333333e-01 1.285117839457809055e+02 1.511549995061660212e+00
1.359999999999999820e-01 1.291523217965746824e+02 1.523255212906912570e+00
1.366666666666666585e-01 1.297929168264746238e+02 1.534878538549330429e+00
1.373333333333333350e-01 1.304335683526560672e+02 1.546418161421218240e+00
1.379999999999999838e-01 1.310742756902172630e+02 1.557872305227640641e+00
1.386666666666666603e-01 1.317150381523769909e+02 1.569239228726496682e+00
1.393333333333333368e-01 1.323558550506718632e+02 1.580517226502211159e+00
1.399999999999999856e-01 1.329967256951539980e+02 1.591704629730688048e+00
1.406666666666666621e-01 1.336376493945879815e+02 1.602799806937660554e+00
1.413333333333333386e-01 1.342786254566483422e+02 1.613801164747549644e+00
1.419999999999999873e-01 1.349196531881159729e+02 1.624707148625135433e+00
1.426666666666666639e-01 1.355607318950751221e+02 1.635516243608336140e+00
1.433333333333333126e-01 1.362018608831098163e+02 1.646226975031120254e+00
1.439999999999999891e-01 1.368430394574997422e+02 1.656837909238592310e+00
1.446666666666666656e-01 1.374842669234158734e+02 1.667347654292177461e+00
1.453333333333333144e-01 1.381255425861162109e+02 1.677754860663932757e+00
1.459999999999999909e-01 1.387668657511403865e+02 1.688058221923095736e+00
1.466666666666666397e-01 1.394082357245039248e+02 1.698256475410272026e+00
1.473333333333333162e-01 1.400496518128931598e+02 1.708348402902414742e+00
1.479999999999999927e-01 1.406911133238575644e+02 1.718332831266403238e+00
1.486666666666666414e-01 1.413326195660033875e+02 1.728208633102590985e+00
1.493333333333333179e-01 1.419741698491855004e+02 1.737974727375808159e+00
1.499999999999999944e-01 1.426157634846994426e+02 1.747630080035882383e+00
1.506666666666666432e-01 1.432573997854719892e+02 1.757173704625744293e+00
1.513333333333333197e-01 1.438990780662516897e+02 1.766604662878787035e+00
1.519999999999999962e-01 1.445407976437985837e+02 1.775922065302128816e+00
1.526666666666666450e-01 1.451825578370720393e+02 1.785125071749916970e+00
1.533333333333333215e-01 1.458243579674197008e+02 1.794212891981818991e+00
1.539999999999999980e-01 1.464661973587641910e+02 1.803184786209598212e+00
1.546666666666666468e-01 1.471080753377883639e+02 1.812040065632066765e+00
1.553333333333333233e-01 1.477499912341221204e+02 1.820778092953790894e+00
1.559999999999999720e-01 1.483919443805251603e+02 1.829398282893311301e+00
1.566666666666666485e-01 1.490339341130710693e+02 1.837900102676146119e+00
1.573333333333333250e-01 1.496759597713292465e+02 1.846283072514653290e+00
1.579999999999999738e-01 1.503180206985453822e+02 1.854546766074115505e+00
1.586666666666666503e-01 1.509601162418227318e+02 1.862690810923978812e+00
1.593333333333333268e-01 1.516022457522993818e+02 1.870714888975899548e+00
1.599999999999999756e-01 1.522444085853273634e+02 1.878618736906117803e+00
1.606666666666666521e-01 1.528866041006475029e+02 1.886402146565594240e+00
1.613333333333333286e-01 1.535288316625661196e+02 1.894064965372008302e+00
1.619999999999999774e-01 1.541710906401273462e+02 1.901607096690820287e+00
1.626666666666666539e-01 1.548133804072866440e+02 1.909028500198612921e+00
1.633333333333333304e-01 1.554557003430817019e+02 1.916329192232663292e+00
1.639999999999999791e-01 1.560980498318017169e+02 1.923509246125505445e+00
1.646666666666666556e-01 1.567404282631563603e+02 1.930568792523745580e+00
1.653333333333333321e-01 1.573828350324422161e+02 1.937508019692222083e+00
1.659999999999999809e-01 1.580252695407080239e+02 1.944327173802622433e+00
1.666666666666666574e-01 1.586677311949188720e+02 1.951026559206640698e+00
1.673333333333333062e-01 1.593102194081179732e+02 1.957606538693937859e+00
1.679999999999999827e-01 1.599527335995879014e+02 1.964067533734305204e+00
1.686666666666666592e-01 1.605952731950088435e+02 1.970410024704948082e+00
1.693333333333333079e-01 1.612378376266169653e+02 1.976634551101255521e+00
1.699999999999999845e-01 1.618804263333592814e+02 1.982741711733777557e+00
1.706666666666666610e-01 1.625230387610478715e+02 1.988732164907858868e+00
1.713333333333333097e-01 1.631656743625127888e+02 1.994606628588139197e+00
1.719999999999999862e-01 1.638083325977517006e+02 2.000365880548899966e+00
1.726666666666666627e-01 1.644510129340789319e+02 2.006010758507686731e+00
1.733333333333333115e-01 1.650937148462728317e+02 2.011542160243289246e+00
1.739999999999999880e-01 1.657364378167200414e+02 2.016961043700158829e+00
1.746666666666666645e-01 1.663791813355596219e+02 2.022268427074413566e+00
1.753333333333333133e-01 1.670219449008233994e+02 2.027465388888733511e+00
1.759999999999999898e-01 1.676647280185767386e+02 2.032553068047374456e+00
1.766666666666666385e-01 1.683075302030546823e+02 2.037532663880545769e+00
