# n_fm^-3 Ebind_MeV Esym_MeV Psnm_MeVfm^-3 K_MeV L_MeV
2.480750000000000177e-01 -8.762982789594730093e+00 3.001550519713458698e+01 7.217558309571984410e+00 7.000860052506204738e+02 -1.205055740068144559e+02
2.505499999999999949e-01 -8.468846988449058699e+00 2.960812250617558661e+01 7.558388354551937027e+00 7.120033915370629529e+02 -1.255710304046385914e+02
2.530249999999999999e-01 -8.166991418072825581e+00 2.918855568538980805e+01 7.907843848799018360e+00 7.239546786311206006e+02 -1.303795915744892682e+02
2.555000000000000049e-01 -7.857439307383174310e+00 2.875790483559794097e+01 8.265998427126135084e+00 7.359376661436617724e+02 -1.349138830614561755e+02
2.579750000000000099e-01 -7.540214107835936375e+00 2.831729186131386555e+01 8.632924657092360121e+00 7.479501340965291547e+02 -1.391579512280767688e+02
2.604500000000000148e-01 -7.215339490547648893e+00 2.786785494887897130e+01 9.008694031063384955e+00 7.599898437336889856e+02 -1.430973601534996931e+02
2.629250000000000198e-01 -6.882839343598220694e+00 2.741074302563225729e+01 9.393376958047298331e+00 7.720545382632850533e+02 -1.467192722194039050e+02
2.654000000000000248e-01 -6.542737769461609787e+00 2.694711025300745888e+01 9.787042755906185221e+00 7.841419433767202918e+02 -1.500125117081672101e+02
2.678750000000000298e-01 -6.195059082588272759e+00 2.647811060544206541e+01 1.018975964376173238e+01 7.962497684297072738e+02 -1.529676109766583636e+02
2.703500000000000347e-01 -5.839827807088681766e+00 2.600489258390251379e+01 1.060159473463764357e+01 8.083757073043549326e+02 -1.555768391484630229e+02
2.728250000000000397e-01 -5.477068674519273372e+00 2.552859410980691024e+01 1.102261402836336401e+01 8.205174391187584888e+02 -1.578342135345938573e+02
2.753000000000000447e-01 -5.106806621761393217e+00 2.505033764087280801e+01 1.145288240476088504e+01 8.326726295935799271e+02 -1.597354941830865869e+02
2.777750000000000496e-01 -4.729066788964018997e+00 2.457122554677714987e+01 1.189246361712815769e+01 8.448389318603741458e+02 -1.612781623424673683e+02
2.802500000000000546e-01 -4.343874517551853387e+00 2.409233577653990466e+01 1.234142028604259167e+01 8.570139876051752026e+02 -1.624613837324817496e+02
2.827250000000000041e-01 -3.951255348284462343e+00 2.361471784594363754e+01 1.279981389349887877e+01 8.691954285028625691e+02 -1.632859577201415675e+02
2.852000000000000091e-01 -3.551235019345085675e+00 2.313938916680171332e+01 1.326770477739916032e+01 8.813808770884576234e+02 -1.637542537889127345e+02
2.876750000000000140e-01 -3.143839464462416800e+00 2.266733173531353174e+01 1.374515212641210837e+01 8.935679480607229834e+02 -1.638701366037532523e+02
2.901500000000000190e-01 -2.729094811050345015e+00 2.219948919149557298e+01 1.423221397521700737e+01 9.057542497715207901e+02 -1.636388812356539120e+02
2.926250000000000240e-01 -2.307027378350994695e+00 2.173676425628947584e+01 1.472894720014460290e+01 9.179373853298012591e+02 -1.630670801026952574e+02
2.951000000000000290e-01 -1.877663675582084579e+00 2.128001654845602530e+01 1.523540751523159997e+01 9.301149539984592138e+02 -1.621625431687607772e+02
2.975750000000000339e-01 -1.441030400074396312e+00 2.083006077872778050e+01 1.575164946870040694e+01 9.422845526079559022e+02 -1.609341930495901067e+02
3.000500000000000389e-01 -9.971544353933268212e-01 2.038766531420642991e+01 1.627772643987589163e+01 9.544437769698765806e+02 -1.593919564748543962e+02
3.025250000000000439e-01 -5.460628494402044453e-01 1.995355110306202562e+01 1.681369063654989304e+01 9.665902232476341851e+02 -1.575466536045393582e+02
3.050000000000000488e-01 -8.778289252052218217e-02 1.952839094531958963e+01 1.735959309280389107e+01 9.787214893952295824e+02 -1.554098866754146968e+02
3.074750000000000538e-01 3.776580046143180880e-01 1.911280909317863319e+01 1.791548366730035013e+01 9.908351767399948358e+02 -1.529939291192172846e+02
3.099500000000000588e-01 8.502322327750562181e-01 1.870738116225849978e+01 1.848141104204671592e+01 1.002928891178215963e+03 -1.503116164376766619e+02
3.124250000000000083e-01 1.329912006377071521e+00 1.831263433233925753e+01 1.905742272164502538e+01 1.015000244842280949e+03 -1.473762398770024049e+02
3.149000000000000132e-01 1.816669365535858560e+00 1.792904781570476302e+01 1.964356503302803958e+01 1.027046857737733490e+03 -1.442014437439790697e+02
3.173750000000000182e-01 2.310476178216617882e+00 1.755705356962866404e+01 2.023988312568849324e+01 1.039066358971624140e+03 -1.408011272457598011e+02
3.198500000000000232e-01 2.811304142436711118e+00 1.719703722899974707e+01 2.084642097240754310e+01 1.051056388181108105e+03 -1.371893514672270555e+02
3.223250000000000282e-01 3.319124788528824865e+00 1.684933923503142950e+01 2.146322137048218792e+01 1.063014597240452076e+03 -1.333802519841154322e+02
3.248000000000000331e-01 3.833909481461091673e+00 1.651425613608486032e+01 2.209032594345825373e+01 1.074938651796460363e+03 -1.293879575558919441e+02
3.272750000000000381e-01 4.355629423230425346e+00 1.619204203685648480e+01 2.272777514336110016e+01 1.086826232371909555e+03 -1.252265151745961305e+02
